"",name,region,variety,rating,notes
494,Agharta Black Label Red 2004,"North Coast, California",Red Wine,98,"Evolved aromas of roasted earth, dried leather and meat jus immediately emerge from the surface of this opaque liquid. Eventually fruit aromas respond to your coaxing and tiny currants, the ripest blackberries and the densest of blue fruits fill out the darker more evolved aromas of leather and tar. The wine is thick and immediately mouth coating with a very richly textured and immensely concentrated sensation of fruit and spice. The secondary aromas of delicate white flowers, black summer truffles and dark roasted coffee highlight the fruit as the wine unfolds in your mouth. This wine isn’t noticeably oaky or excruciatingly tannic or seemingly sweet, it is just all kind of 'there' composed and finely knit together in a very decadent glass of wine. "
497,Agharta Syrah (1.5 Liter Magnum) 2004,"North Coast, California",Red Wine,98,"Evolved aromas of roasted earth, dried leather and meat jus immediately emerge from the surface of this opaque liquid. Eventually fruit aromas respond to your coaxing and tiny currants, the ripest blackberries and the densest of blue fruits fill out the darker more evolved aromas of leather and tar. The wine is thick and immediately mouth coating with a very richly textured and immensely concentrated sensation of fruit and spice. The secondary aromas of delicate white flowers, black summer truffles and dark roasted coffee highlight the fruit as the wine unfolds in your mouth.  This wine isn't noticeably oaky or excruciatingly tannic or seemingly sweet, it is just all kind of 'there' composed and finely knit together in a very decadent glass of wine."
498,Agharta Syrah 2004,"North Coast, California",Red Wine,98,"""Evolved aromas of roasted earth, dried leather and meat jus immediately emerge from the surface of this opaque liquid. Eventually fruit aromas respond to your coaxing and tiny currants, the ripest blackberries and the densest of blue fruits fill out the darker more evolved aromas of leather and tar. The wine is thick and immediately mouth coating with a very richly textured and immensely concentrated sensation of fruit and spice. The secondary aromas of delicate white flowers, black summer truffles and dark roasted coffee highlight the fruit as the wine unfolds in your mouth.  This wine isn't noticeably oaky or excruciatingly tannic or seemingly sweet, it is just all kind of 'there' composed and finely knit together in a very decadent glass of wine."""
586,Alain Voge Cornas Vieilles Vignes 2010,"Cornas, Rhone, France",Red Wine,99,"Cornas ""Les Vieilles Vignes"" comes from Syrah vineyards, more than 30 years old, on decomposed granite slopes, also alled ""gore"". This wine is a lighter style, with some good violet and dark red fruit."
644,Alban Pandora 2006,"Edna Valley, Central Coast, California",Red Wine,97,"White flowers, cloves and mint wrap around layers of plush dark fruit in a sensual, mysterious Grenache of the very highest level. Despite its size, the Pandora is more refined than the straight Grenache. "
645,Alban Pandora 2009,"Edna Valley, Central Coast, California",Red Wine,97,"White flowers, cloves and mint wrap around layers of plush dark fruit in a sensual, mysterious Grenache of the very highest level. Despite its size, the Pandora is more refined than the straight Grenache. "
647,Alban Pandora 2013,"Edna Valley, Central Coast, California",Red Wine,99,"In the myth, Pandora is the first woman- the Greek ‘Eve’.  She is fashioned out of clay and as you know, handed a vessel that she is instructed not to open.  Of course, curiosity forces her to take a look.  In that moment, all the challenges of the world are released- much like the effect of the apple in Eden.  What is all too often overlooked is that Pandora shuts the vessel in time to retain one attribute: Hope.  Naturally as the first woman, she is the source of all hope for mankind.  "
712,Albert Boxler Riesling Grand Cru Brand Kirchberg 2016,"Alsace, France",White Wine,98,"ne whiff of this might make you want to plunge right into the glass. Once the wine hits your tongue... Nope, zingy lemon, delicate white flowers, rich mineral backbone, beautiful mouthwatering finish, incredible length... (though all true) will not come close to summing up the experience of enjoying this wine. How’s “Buy as much as you can get” for a tasting note? It’s a classic!"
714,Albert Boxler Riesling Grand Cru Sommerberg Eckberg 2016,"Alsace, France",White Wine,98,"My favorite Riesling in the store (perhaps ever). Zesty, minerally, intensely aromatic, boundlessly deep—my Alsatian ancestry approves!"
762,Aldo Conterno Granbussia Barolo Riserva 2009,"Barolo, Piedmont, Italy",Red Wine,97,"The Barolo Reserve Granbussia is produced by blending grapes from the oldest vines, from the Romirasco, Cicala, and Colonnello, before fermentation starts, in the following percentages respectively: 70% - 15% - 15%. Naturally these optimal values may vary depending on the year. The Granbussia remains in the cellar for at least 8 years before commercialization. It  is produced exclusively in the best years and in limited quantities. "
772,Alejandro Bulgheroni Lithology Beckstoffer To Kalon Vineyard Cabernet Sauvignon 2016,"Napa Valley, California",Red Wine,97,Alejandro Bulgheroni Estate Lithology is a series of single vineyard and AVA-designated wines made from select sites within Napa Valley. Lithology Beckstoffer To Kalon Vineyard is produced solely from fruit grown in the historic Beckstoffer to Kalon Vineyard planted in 1865 by W.H. Crabb and represents Oakville's famous bench land.
1317,Alvear Pedro Ximenez 1830 Solera (500ML),Spain,,97,"The 1830 Solera is black with shades of chocolate and mahogany. Persistent aromas of cacao, dates, raisins and figs. On the palate it is dense and unctuous, with reminiscence of raisins, dried figs, tobacco and coffee with an everlasting and elegant finish."
1383,Amici Beckstoffer Missouri Hopper Vineyard Cabernet Sauvignon 2016,"Oakville, Napa Valley, California",Red Wine,97,"A gorgeous, fragrant nose of black cherry, plum and dark chocolate is washed with hints of vanilla. The full-throttled palate is reminiscent of blackberry pie along with flavors of concentrated dark fruit and silky chocolate. Hints of clove, cassis and savory herbs pepper throughout the powerful finish."
1384,Amici Beckstoffer To Kalon Vineyard Cabernet Sauvignon 2016,"Oakville, Napa Valley, California",Red Wine,97,"The power of this heritage vineyard lies in its distinct nose with classic To Kalon aromas of clay loam, wet earth and mint. Additional elevated aromatics feature blueberry jam, rhubarb compote, cassis and sweet tobacco. On the palate, the wine is both precise and dense, with soy, menthol, raspberry cordial and black raspberry jam notes. A powerful wine from start to finish, with powdery, chalky tannins and an impressively long finish. "
1525,Anderson's Conn Valley Vineyards Cabernet Sauvignon Estate Reserve 2008,"Napa Valley, California",Red Wine,98,"100% Cabernet Sauvignon, 100% Estate grown."
1534,Anderson's Conn Valley Vineyards Cabernet Sauvignon Reserve (1.5 Liter Magnum) 2008,"Napa Valley, California",Red Wine,98,"100% Cabernet Sauvignon, 100% Estate grown."
1543,Anderson's Conn Valley Vineyards Eloge (1.5 Liter Magnum) 2007,"Napa Valley, California",Red Wine,98,"65% Cabernet Sauvignon, 25% Cabernet Franc, 7% Petit Verdot, 3% Merlot"
1549,Anderson's Conn Valley Vineyards Eloge 2007,"Napa Valley, California",Red Wine,98,"65% Cabernet Sauvignon, 25% Cabernet Franc, 7% Petit Verdot, 3% Merlot"
1552,Anderson's Conn Valley Vineyards Eloge (6.0 Liter Bottle) 2007,"Napa Valley, California",Red Wine,98,"65% Cabernet Sauvignon, 25% Cabernet Franc, 7% Petit Verdot, 3% Merlot. "
1608,Andremily Syrah No. 1 2012,"Santa Barbara, Central Coast, California",Red Wine,97,"The 2012 Andremily No.1 is a 100% delicious Cuvee’ comprised predominantly of Syrah from the Famed White Hawk Vineyard in Cat Canyon, and Larner Vineyard in Ballard Canyon. The Syrah was 5% co-fermented with Viognier, and 70% destemmed. It was bottled after 25 months in French barrique, of which 58% where new. The final cuvee was finished off with a dollop of Mourvedre, serving as the cherry on top."
1609,Andremily Syrah No. 2 (1.5 Liter Magnum) 2013,"Santa Barbara, Central Coast, California",Red Wine,99,"Andremily is excited to share with all of you the 2013 Andremily No.2. The No.2, which similar to the first release, is comprised predominantly of Syrah from the Famed White Hawk Vineyard in Cat Canyon, and Larner Vineyard in Ballard Canyon. The Syrah was 4% co-fermented with Viognier, and includes 35% whole cluster. We included 11% Mourvedre in the final blend, which was bottled after 23 months in French barrique, of which 62% where new."
1610,Andremily Syrah No. 2 2013,"Santa Barbara, Central Coast, California",Red Wine,99,"Andremily is excited to share with all of you the 2013 Andremily No.2. The No.2, which similar to the first release, is comprised predominantly of Syrah from the Famed White Hawk Vineyard in Cat Canyon, and Larner Vineyard in Ballard Canyon. The Syrah was 4% co-fermented with Viognier, and includes 35% whole cluster. We included 11% Mourvedre in the final blend, which was bottled after 23 months in French barrique, of which 62% where new."
1613,Andremily Syrah No. 4 (1.5 Liter Magnum) 2015,"Santa Barbara, Central Coast, California",Red Wine,97,"The incredibly sexy 2015 Andremily No.4. is a blend of 90% Syrah, Co-fermented with 6% Viognier, and finished off with a dash of Mourvedre. No.4 enjoyed 22 months in 70% New French Barrique, and was bottled without fining or filtration. The fruit sources for Andremily No.4 are the White Hawk Vineyard in Cat Canyon, Larner Vineyard in Ballard Canyon, as well as the addition of Watch Hill Vineyard in Alisos Canyon to the blend. this baby sure delivers, offering a rich texture, plenty of classic Syrah spice notes, as well as, bushels of black and blue fruit character."
1614,Andremily Syrah No. 4 2015,"Santa Barbara, Central Coast, California",Red Wine,97,"The incredibly sexy 2015 Andremily No.4. is a blend of 90% Syrah, Co-fermented with 6% Viognier, and finished off with a dash of Mourvedre. No.4 enjoyed 22 months in 70% New French Barrique, and was bottled without fining or filtration. The fruit sources for Andremily No.4 are the White Hawk Vineyard in Cat Canyon, Larner Vineyard in Ballard Canyon, as well as the addition of Watch Hill Vineyard in Alisos Canyon to the blend. this baby sure delivers, offering a rich texture, plenty of classic Syrah spice notes, as well as, bushels of black and blue fruit character."
1615,Andremily Syrah No. 6 2017,"Santa Barbara, Central Coast, California",Red Wine,98,"The 2017 Andremily No.6, is cut from the same cloth as previous wines in the sequence, but perhaps just a touch better. Andremily No.6 is a blend of 92% Syrah, from White Hawk, Larner, Harrison-Clarke, and Watch Hill Vineyards, coupled with 5% Mourvedre, from Alta Mesa, and finished off with just a dab of Viognier. Andremily No.6 is an incredible sexy, rich and full-bodied elixir, that leaps from the glass. Offering bushels of black and blue fruit, scorched earth, and exotic spice. No.6 has a wonderful texture with fine tannins, and plenty of natural acidity to deliver great lift."
1946,Antinori Pian delle Vigne Brunello di Montalcino 1997,"Montalcino, Tuscany, Italy",Red Wine,97,"The latter part of winter and the beginning of Spring were very mild for the time of year and also very dry. This produced early budding - some 10 days earlier than average. In April the temperature suddenly dropped, causing and arrest in growth of the buds. The Summer was very hot and sunny and this weather continued for the whole of September and for the duration of the harvest, which meant that at the time of picking, the grapes were exceptionally healthy and with a high sugar concentration. Overall the 1997 harvest was somewhat less than expected in terms of quantity - but in terms of quality, this is an exceptional vintage, probably even better than the much acclaimed 1990 vintage and one of the greatest of the last fifty years. Full-structured and velvety, with rich perfumes and hints of flowers, vanilla and chocolate."
1963,Antinori Solaia (1.5 Liter Magnum) 1997,"Tuscany, Italy",Red Wine,97,"Intensely fruity and complex with a good structure, well-balanced, with soft tannins and a lingering finish. Displays unmistakable varietal flavor while retaining strong regional character."
1968,Antinori Solaia (1.5 Liter Magnum) 2015,"Tuscany, Italy",Red Wine,98,"The 2015 Solaia is an intense ruby red in color with purple highlights. The nose offers powerful notes of plum jam and berry fruit. Perfectly integrated sensations of chocolate and licorice give way on the finish to hints of fresh mint. Harmonious on the palatewith excellent structure and silky tannins, the wine concludes with an extremely long finish and lingering aftertaste."
1971,Antinori Solaia 1997,"Tuscany, Italy",Red Wine,97,"Intensely fruity and complex with a good structure, well-balanced, with soft tannins and a lingering finish. Displays unmistakable varietal flavor while retaining strong regional character."
1977,Antinori Solaia 2005,"Tuscany, Italy",Red Wine,97,"Solaia, which means the ‘sunny one' in Italian, is a 25-acre south-west facing vineyard that is contiguous to the Tignanello Vineyard in Chianti Classico. Solaia is produced only in exceptional years. It was not produced in the 1980, 1981, 1983, 1984 and 1992 vintages. "
1984,Antinori Solaia 2015,"Tuscany, Italy",Red Wine,98,"The 2015 Solaia is an intense ruby red in color with purple highlights. The nose offers powerful notes of plum jam and berry fruit. Perfectly integrated sensations of chocolate and licorice give way on the finish to hints of fresh mint. Harmonious on the palatewith excellent structure and silky tannins, the wine concludes with an extremely long finish and lingering aftertaste."
1985,Antinori Solaia 2016,"Tuscany, Italy",Red Wine,97,"A ruby red color, 2016 Solaia distinguishes itself with aromatic notes of ripe dark fruit fused with sensations of aromatic herbs and mint; notes of chocolate alternate with spicy suggestions of white pepper. The palate of this red wine is rich with silky tannins. The finish is persistent and indicates optimal aging potential. "
1989,Antinori Solaia (3 Liter Bottle) 2015,"Tuscany, Italy",Red Wine,98,"The 2015 Solaia is an intense ruby red in color with purple highlights. The nose offers powerful notes of plum jam and berry fruit. Perfectly integrated sensations of chocolate and licorice give way on the finish to hints of fresh mint. Harmonious on the palatewith excellent structure and silky tannins, the wine concludes with an extremely long finish and lingering aftertaste."
2165,Araujo Eisele Vineyard Cabernet Sauvignon 2003,"Calistoga, Napa Valley, California",Red Wine,98,"Produced from a small crop of concentrated, ripe berries, this deep and dark wine exhibits an endless bouquet of crushed blackberries and cassis, highlighted by floral nuances of dried lavender and chamomile, and spicy notes of clove and nutmeg. In the mouth, it is a full-bodied, seamless wine, with a juicy mid-palate layered with hazelnuts, mocha, pencil lead and licorice, and a rich, lingering finish of wet granite and fine tannins. "
2181,Araujo Eisele Vineyard Syrah 1994,"Calistoga, Napa Valley, California",Red Wine,98,"This wine's aroma is intensely spicy, full of clove and cinnamon, black tea and smoke. In the mouth the rich flavors of plum, chocolate, toffee and pepper, are deep without heaviness, and the massive but fine silky tannins linger through the long sweet finish. This wine is supple enough to drink now, but will develop in complexity with 5 to 10 years of cellaring."
2547,Arkenstone Estate Red 2015,"Howell Mountain, Napa Valley, California",Red Wine,97,"Ruby red with deep black undertones, this dense yet elegantly focused beauty is a very special expression of the Howell Mountain terroir, and the beautiful 2015 vintage. Cassis, violet, mocha, graphite, and dried tea leaves greet the nose, along with our signature earth, sweet tobacco, and leather. A clean minerality and bright acidity are complemented by dark black cherry, star anise and mocha on the front palate while deep espresso, blackberry cobbler, blueberries, lavender and baking spices roundly fill the mid-palate. Very fine, lush tannins hold the richly dark chocolate, cassis-laden, long velvety finish. This wine is drinking beautifully balanced and youthfully vibrant right now, but will easily lie down for 30+ years."
2626,Arrowood Reserve Speciale Cabernet Sauvignon 1997,"Sonoma Valley, Sonoma County, California",Red Wine,97,"This is a beautiful deep purple and ruby colored wine with incredible depth and flavor. While the nose is complex, with blackberry and plum fruit, spice and notes of cedar in the background, on the palate, the wine spills over with rich blackberry and cherry fruit flavors and cassis. The toasty oak and spice flavors combine to provide a wonderfully pleasing finish."
2682,Artadi Pagos Viejos 2001,"Rioja, Spain",Red Wine,97,"The Artadi estate was created in 1985 by the dynamic visionary winemaker, Juan Carlos Lopez de la Calle. His objective and vision was to seek and nurture the concept that Tempranillo, when cultivated at high altitudes, low-cropped, and from old vines, produces extraordinarily rich, deeply colored, and profound wines. This, coupled with specific barrel treatment (with minor American oak influences) produces one of Rioja's most exciting new wines. Artadi is about purity of deeply extracted fruit with almost Burgundian textures, sheer power, complexity, and startling finesse! The results have have been astounding."
2691,Artadi Vina el Pison 2007,"Rioja, Spain",Red Wine,98,"Deep cherry in color with a vivacious violet rim, the wine has clean aromas of ripe black fruit, English toffee and dark chocolate. On the palate it is complex and meaty with notes of ripe berries, toasted malt and sweet tobacco. A wine with surprising expressiveness that is full of character and personality, it has natural elegance and great propensity for long bottle aging."
2692,Artadi Vina el Pison Riserva 1996,"Rioja, Spain",Red Wine,97,"The wine that hails from this unique vineyard site reflects the expertise of Juan Carlos' ancestors and their passion to keep the spirit of the old-vine Tempranillo alive. The vineyard's unique micro-ecosystem produces a wine that is densely chromatic, deep and complex on the palate with a fresh ripeness and fine, elegant tannins. Containing seductive aromas and a long, lingering finish, this wine has an exclusive character and personality that gives it an exceptional propensity for long bottle aging."
2940,Aubert CIX Vineyard Chardonnay 2014,"Sonoma Coast, Sonoma County, California",White Wine,99,"The 2014 CIX Estate Chardonnay conveys the quintessential hybrid of Sonoma Coast and Grand Cru White Burgundy. CIX’s ethereal blend of subtleties and power are tightly wound into one. Please note the greenish hue on the edge of the glass, which is indicative of the health of the wine. Subtle aromatics of powdered citrus and jasmine are complimented by youthful minerality. The evolution of the wine begins to display more expressive notes of baked pear, straw and fresh herbs. The palate reveals more tension with vin-de-garde acidity. The 2014 CIX is built to age with its combination of power, tension and structure, and will cellar for the next 10 to 15 years. The wine has a slight hazy clarity showing our commitment to minimal intervention winemaking."
2943,Aubert CIX Vineyard Pinot Noir (1.5L Magnum) 2015,"Sonoma Coast, Sonoma County, California",Red Wine,99,"Aubert’s first ever Estate Pinot Noir, the CIX is Grand Cru Aubert.  This Pinot is the winery’s most reminiscent of red Burgundy. This cooler site in Forestville creates an ethereal, delicate, and elegant wine."
2946,Aubert CIX Vineyard Pinot Noir 2015,"Sonoma Coast, Sonoma County, California",Red Wine,99,"Aubert’s first ever Estate Pinot Noir, the CIX is Grand Cru Aubert.  This Pinot is the winery’s most reminiscent of red Burgundy. This cooler site in Forestville creates an ethereal, delicate, and elegant wine."
2951,Aubert Eastside Russian River Chardonnay 2015,"Russian River, Sonoma County, California",White Wine,98,"Eastside is Aubert's only Russian River AVA Chardonnay. Located on a hill overlooking the expanses of the Russian River Valley, these vines grow on the rockiest of sites; a distinguishing aspect of its terroir. The rare Chardonnay clonal selection is matched to this low vigor site, equating to a remarkably powerful, yet delicately elegant wine."
2952,Aubert Eastside Russian River Chardonnay 2017,"Russian River, Sonoma County, California",White Wine,98,"The 2017 Eastside Chardonnay is powerful and opulent. Notes of the stony terroir weave through seductive aromas of lemon zest, apple crumble, and orange blossom. The palate is carried by an integrated acid line complemented by dried apricot and lime dust. The greenish hue on the edge of the glass is indicative of the health of the wine. Expressive and palate-staining, the 2017 Eastside has the energy to drink young for over a decade. The wine is slightly hazy showing our commitment to minimal intervention winemaking."
2953,Aubert Hudson Vineyard Chardonnay (1.5L Magnum) 2015,"Carneros, California",White Wine,98,"The Hudson Vineyard runs along a northern stretch of Carneros soils that are thin and rocky. As a result, these 20-year-old vines struggle to produce even the most modest of crops.   "
2955,Aubert Hudson Vineyard Chardonnay 2015,"Carneros, California",White Wine,98,"The Hudson Vineyard runs along a northern stretch of Carneros soils that are thin and rocky. As a result, these 20-year-old vines struggle to produce even the most modest of crops.   "
2958,Aubert Larry Hyde & Sons Vineyard Chardonnay (1.5 Liter) 2014,"Carneros, California",White Wine,97,"There is a greenish hue on the edge of the glass, which is indicative of the health of the wine. Initially, aromatics of white nectarines and green apple showcase delicate fruits. Secondary aromas evolve with time to form more expressive, complex notes of bergamot, sea air and citrus flowers. The palate is racy, yet rich, with intense gras and oily textures. Layered with extract and acid, the 2014 Larry Hyde & Sons has what it takes to age for the next 10 to 15 years. The wine has a slight hazy clarity showing our commitment to minimal intervention winemaking."
2979,Aubert Powder House Chardonnay 2017,"Sonoma Coast, Sonoma County, California",White Wine,97,"The inaugural 2017 Powder House Chardonnay makes a powerful debut with captivating aromas of ripe peach, green apple, lime powder, and candied lemon peel. The palate is intense and concentrated with lemon cream, citrus spice, and a savory note. This wine is full-bodied and complex with a precision acid backbone leading to a long and persistent finish. There is a healthy greenish hue on the edge of the glass. The wine is slightly hazy showing our commitment to minimal intervention winemaking."
3001,Aubert Sugar Shack Estate Chardonnay (1.5L Magnum) 2014,"Alexander Valley, Sonoma County, California",White Wine,97,"The 2014 Sugar Shack Estate Chardonnay continues to blur the lines between Napa Valley Chardonnay and its Sonoma cousins. Restrained and tightly integrated, the 2014 is the most dynamic bottling yet. Please note the greenish hue on the edge of the glass, which is indicative of the health of the wine. Initial intensities of lemon meringue, candied citrus and dried papaya offer more primary notes. Secondary nuances of honeysuckle, graham cracker and spiced apple offer intrigue and oenological insight. While the palate has exceptional density and concentration, it is laced with refreshing minerality. The wine’s significant palate presence and ample acidity bode well for 7 – 8 years of cellar life. The wine has a slight hazy clarity showing Aubert’s commitment to minimal intervention winemaking."
3004,Aubert Sugar Shack Estate Chardonnay 2014,"Napa Valley, California",White Wine,97,"The 2014 Sugar Shack Estate Chardonnay continues to blur the lines between Napa Valley Chardonnay and its Sonoma cousins. Restrained and tightly integrated, the 2014 is the most dynamic bottling yet. Please note the greenish hue on the edge of the glass, which is indicative of the health of the wine. Initial intensities of lemon meringue, candied citrus and dried papaya offer more primary notes. Secondary nuances of honeysuckle, graham cracker and spiced apple offer intrigue and oenological insight. While the palate has exceptional density and concentration, it is laced with refreshing minerality. The wine’s significant palate presence and ample acidity bode well for 7 – 8 years of cellar life. The wine has a slight hazy clarity showing our commitment to minimal intervention winemaking."
3005,Aubert Sugar Shack Estate Chardonnay 2015,"Napa Valley, California",White Wine,99,"The 2015 Sugar Shack Estate Chardonnay is a wine of immense proportion and is a thrill to drink. Full of brazen character, it astonishingly never crosses the line. Please note the greenish hue on the edge of the glass, which is indicative of the health of the wine. An inviting nose of honeyed citrus, candle wax, florals and a hint of bacon fat. Flavors focus on golden apple juice with baking spice and fennel adding complexity. A creamy texture frames the tasting experience, while the acid wash keeps this liquid confection lively and in check. The 2015 Sugar Shack will probably last a decade, but why wait? The wine is slightly hazy showing their commitment to minimal intervention winemaking."
3006,Aubert Sugar Shack Estate Chardonnay 2017,"Napa Valley, California",White Wine,98,"The 2017 Sugar Shack Estate Chardonnay is a compelling wine. Aromatics of green apple, salted caramel, pecan pie, and honeysuckle intertwine with wafts of exotic citrus oils. Rich and forward on the mouth, the layers of lush orchard fruits are integrated with refined hints of savory spices that saturate the palate a leave a lasting impression. This is a stunning Chardonnay to drink now or hold for 10 years. The wine is slightly hazy showing our commitment to minimal intervention winemaking."
3008,Aubert UV-SL Vineyard Chardonnay (1.5 Liter Magnum) 2012,"Sonoma Coast, Sonoma County, California",White Wine,97,"2012 is one of Aubert's most concentrated and intriguing UV-SL Chardonnays to date. Night harvests and refrigerated trucks were used to ensure the preservation of flavor nuances. Primary fermentation was conducted in barrel and took nearly six months to complete. This long and arduous process results in wines with outstanding freshness, lively aromatics, and telltale nuances that retain site specificity. The 2012 UV-SL Chardonnay was aged in 100% new French oak barrels for 11 months, then carefully racked to tank for three months to clarify and concentrate before being bottle unfined and unfiltered."
3016,Aubert UV-SL Vineyard Pinot Noir 2014,"Sonoma Coast, Sonoma County, California",Red Wine,98,"Aubert most masculine Pinot Noir, the UV-SL is opulent in color, reflecting a tangible fullness across the palate.  The vineyard’s proximity to the ocean is deceptive, as the notably warm climate allows the grapes to reach our optimal ripeness. "
3039,Auguste Clape Cornas 2015,"Cornas, Rhone, France",Red Wine,97,#77 
3136,Avignonesi Vin Santo Occhio di Pernice (375ML half-bottle) 1999,"Tuscany, Italy",,98,"Deep amber in color, this wine shows elements of dark chocolate, dried figs and candied red fruit underlined by smokey, balsamic notes. Occhio di Pernice 1999 is incredibly rich and full on the palate, with hints of juniper berries and typical Mediterranean flora and a lingering, smooth, sweet finish."
3243,Bacio Divino Janzen Beckstoffer To Kalon Cabernet Sauvignon 2014,"Napa Valley, California",Red Wine,97,"Andy Beckstoffer’s To Kalon Vineyard is considered perhaps the best vineyard in all of Napa Valley. Soils, aspect, drainage, meticulous growing practices- all have a part in the remarkability of this site. Wines from this vineyard are renowned for incredible delicacy, finesse and elegance. Bacio Divino's Janzen Beckstoffer To Kalon Cabernet Sauvignon is infused with the vineyard’s signature minerality, red fruit and graphite."
3628,Barnett Vineyards Rattlesnake Cabernet Sauvignon (1.5L Magnum) 2013,"Spring Mountain District, Napa Valley, California",Red Wine,98,"The 2013 Rattlesnake is nearly black in color. The complex nose is very serious in its youth, but after a bit of air the layers of complexity emerge. Blackcurrant puree and fresh blackberries are matched with dark chocolate, crushed violets and coffee grounds. Beautiful underlying aromas of spring rain and volcanic earth begin to emerge. Silky at the beginning the tannins begin to emerge and show the wines youth. Blueberry pie and more dark chocolate are prominent on the palate. The sizeable tannins are in a chalky complex form that are matched by the acidity but scream for cellaring. "
3634,Barnett Vineyards Rattlesnake Cabernet Sauvignon 2013,"Spring Mountain District, Napa Valley, California",Red Wine,98,"The 2013 Rattlesnake is nearly black in color. The complex nose is very serious in its youth, but after a bit of air the layers of complexity emerge. Blackcurrant puree and fresh blackberries are matched with dark chocolate, crushed violets and coffee grounds. Beautiful underlying aromas of spring rain and volcanic earth begin to emerge. Silky at the beginning the tannins begin to emerge and show the wines youth. Blueberry pie and more dark chocolate are prominent on the palate. The sizeable tannins are in a chalky complex form that are matched by the acidity but scream for cellaring. "
3924,Beaux Freres The Upper Terrace Pinot Noir 2012,"Ribbon Ridge, Willamette Valley, Oregon",Red Wine,97,"Gorgeous yet subtle notes of plum, Asian spice, black and blue fruits and forest flora emanate from the perfume. Full-bodied but still holding back, it has great delineation, focus, purity and richness. Some patience will be essential to appreciate the future glories of this very limited cuvée from our steep terraced vineyard. "
